This is a sample data
You can use this to check what you can do with this package

   x  ,  y
1377,     135
1378,     140
1379,     144
1380,     127
1381,     148
1382,     145
1383,     135
1384,     132
1385,     131
1386,     115
1387,     128
1388,     128
1389,     134
1390,     114
1391,     141
1392,     124
1393,     135
1394,     148
1395,     135
1396,     145
1397,     131
1398,     140
1399,     133
1400,     123
1401,     143
1402,     130
1403,     149
1404,     131
1405,     126
1406,     132
1407,     127
1408,     125
1409,     139
1410,     139
1411,     126
1412,     127
1413,     125
1414,     133
1415,     126
1416,     139
1417,     133
1418,     139
1419,     147
1420,     136
1421,     109
1422,     121
1423,     124
1424,     126
1425,     122
1426,     146
1427,     126
1428,     134
1429,     138
1430,     146
1431,     129
1432,     138
1433,     135
1434,     138
1435,     127
1436,     110
1437,     140
1438,     128
1439,     131
1440,     108
1441,     116
1442,     113
1443,     128
1444,     134
1445,     129
1446,     137
1447,     134
1448,     111
1449,     123
1450,     130
1451,     123
1452,     128
1453,     129
1454,     135
1455,     109
1456,     131
1457,     123
1458,     121
1459,     104
1460,     119
1461,     135
1462,     134
1463,     128
1464,     133
1465,     116
1466,     134
1467,     124
1468,     118
1469,     134
1470,     119
1471,     110
1472,     115
1473,     138
1474,     149
1475,     138
1476,     106
1477,     134
1478,     120
1479,     125
1480,     132
1481,     126
1482,     131
1483,     132
1484,     114
1485,     122
1486,     131
1487,     120
1488,     117
1489,     136
1490,     121
1491,     137
1492,     124
1493,     120
1494,     117
1495,     132
1496,     142
1497,     138
1498,     132
1499,     125
1500,     121
1501,     127
1502,     109
1503,     118
1504,     141
1505,     121
1506,     123
1507,     121
1508,     114
1509,     139
1510,     121
1511,     124
1512,     112
1513,     134
1514,     115
1515,     121
1516,     113
1517,     137
1518,     117
1519,     121
1520,     121
1521,     117
1522,     138
1523,     108
1524,     143
1525,     109
1526,     141
1527,     140
1528,     124
1529,     110
1530,     130
1531,     121
1532,     125
1533,     119
1534,     128
1535,     144
1536,     125
1537,     125
1538,     128
1539,     116
1540,     111
1541,     129
1542,     125
1543,     133
1544,     110
1545,     144
1546,     117
1547,     138
1548,     120
1549,     138
1550,     134
1551,     131
1552,     123
1553,     113
1554,     124
1555,     118
1556,     110
1557,     136
1558,     115
1559,     129
1560,     127
1561,     119
1562,      98
1563,     125
1564,     119
1565,      99
1566,     115
1567,     135
1568,     125
1569,     121
1570,     127
1571,     114
1572,     109
1573,     133
1574,     136
1575,     116
1576,     120
1577,     109
1578,     128
1579,     111
1580,     133
1581,     137
1582,     114
1583,     141
1584,     126
1585,     124
1586,     122
1587,     126
1588,     118
1589,     131
1590,     133
1591,     101
1592,     123
1593,     101
1594,     123
1595,     127
1596,     114
1597,     120
1598,     113
1599,     129
1600,     121
1601,     105
1602,     120
1603,     146
1604,     116
1605,     119
1606,     125
1607,     132
1608,     127
1609,     145
1610,     135
1611,     139
1612,     117
1613,     112
1614,     146
1615,     121
1616,     124
1617,     128
1618,     107
1619,     136
1620,     128
1621,     118
1622,     132
1623,     134
1624,     121
1625,     139
1626,     119
1627,     100
1628,     119
1629,     131
1630,     131
1631,     123
1632,     108
1633,     147
1634,     131
1635,     134
1636,     122
1637,     119
1638,     137
1639,     121
1640,     115
1641,     126
1642,      90
1643,     155
1644,     134
1645,     119
1646,     128
1647,     125
1648,     122
1649,     134
1650,     115
1651,     126
1652,     133
1653,     110
1654,     117
1655,     135
1656,     133
1657,     130
1658,     109
1659,     113
1660,     138
1661,     119
1662,     143
1663,     133
1664,     119
1665,     118
1666,     122
1667,      98
1668,     112
1669,     120
1670,     106
1671,     115
1672,     106
1673,     119
1674,     115
1675,     125
1676,     116
1677,     118
1678,     116
1679,     130
1680,     123
1681,     119
1682,     114
1683,     102
1684,     140
1685,     121
1686,     101
1687,     130
1688,     110
1689,     114
1690,     119
1691,     122
1692,     130
1693,     150
1694,     132
1695,     110
1696,     134
1697,     120
1698,     126
1699,     131
1700,     111
1701,     122
1702,     120
1703,     128
1704,     130
1705,     127
1706,     132
1707,     139
1708,     115
1709,     119
1710,     111
1711,     116
1712,     125
1713,     137
1714,     143
1715,     132
1716,     102
1717,     126
1718,     117
1719,     121
1720,     144
1721,     120
1722,     134
1723,     122
1724,     123
1725,     104
1726,     110
1727,     116
1728,     123
1729,     142
1730,     133
1731,     106
1732,     133
1733,     126
1734,     128
